WKT;project_id;name;city;energy;type_solar_id;status_project_id;developer_id;wind_model_id
POINT (1.28855687921449 43.8850405513874);1;Bessens_La_Bourdasse_02;NULL;SOLAR;1;NULL;177;NULL
POINT (-0.074473302862175 45.7631884239625);2;CPENR de ROUILLAC;NULL;SOLAR;1;NULL;4;NULL
POINT (2.79500107118174 44.1155052428908);3;Salles-Curan;NULL;SOLAR;1;NULL;178;NULL
POINT (0.367927595481006 43.0665057045356);4;IZAUX_01;NULL;SOLAR;1;NULL;179;NULL
POINT (0.366575579369985 43.0643364655332);5;IZAUX_02;NULL;SOLAR;1;NULL;179;NULL
POINT (0.745810850779021 43.2047411533763);6;Saint_Marcet_01;NULL;SOLAR;1;NULL;NULL;NULL
POINT (0.742536124681828 43.1401393631937);7;Saint_Gaudens_01;NULL;SOLAR;1;NULL;NULL;NULL
POINT (0.941585617381902 43.1378402789931);8;Saint_Martory_Peyrohito_01;NULL;SOLAR;1;NULL;NULL;NULL
POINT (0.93772587350626 43.1364620768548);9;Saint_Martory_Les_Clottes_01;NULL;SOLAR;1;NULL;NULL;NULL
POINT (1.85125516358923 43.3891708614902);10;Montmaur-Borye;NULL;SOLAR;1;NULL;NULL;NULL
POINT (1.97824018212338 43.4055218165569);11;Labecede - Pech Ricaud;NULL;SOLAR;1;NULL;NULL;NULL
POINT (2.78468415085599 42.7215359630381);12;Creation 2s agricoles + 2 hangars;NULL;SOLAR;2;NULL;NULL;NULL
POINT (1.5368253446566 43.3000674163134);13;Ferme d'AKUO de Cintegabelle;NULL;SOLAR;1;NULL;13;NULL
POINT (2.86471934517446 43.2236318711128);14;OMEGA 2;NULL;SOLAR;1;NULL;13;NULL
POINT (-0.044512902571889 43.7752680681518);15;CAUPENNE_ALTER-VALROMAY-NOGARO-II;NULL;SOLAR;3;NULL;NULL;NULL
POINT (2.9590197365871 42.7428730921683);16;18 2s agricoles avec couverture photovoltaeque;NULL;SOLAR;2;NULL;NULL;NULL
POINT (2.12817030414433 43.3373288060662);17;Salvayre;NULL;SOLAR;1;NULL;179;NULL
POINT (2.78942058892568 42.6641496451477);18;Centrale photovoltaique du 1er;NULL;SOLAR;1;NULL;179;NULL
POINT (2.33845549891302 43.327739097302);19;Salsigne-Cumies;NULL;SOLAR;1;NULL;179;NULL
POINT (2.48903183298406 45.0268277403832);20;Renhares;NULL;SOLAR;NULL;NULL;179;NULL
POINT (-1.60031715563951 47.9977915635061);21;NULL;NULL;SOLAR;NULL;NULL;180;NULL
POINT (2.98487616375358 42.5680221300992);22;Projet de parc photovoltaique de MAS SAINT GEORGES;NULL;SOLAR;1;NULL;NULL;NULL
POINT (2.64425182641006 44.330527563834);23;Sainte-Radegonde;NULL;SOLAR;1;NULL;NULL;NULL
POINT (2.97586800935985 42.7458733073589);24;construction de 2s agricoles photovoltaeques;NULL;SOLAR;2;NULL;NULL;NULL
POINT (-0.463081288431483 45.9012259340193);25;Fontenet 3;NULL;SOLAR;1;NULL;24;NULL
POINT (3.37698301743923 43.3735049142435);26;Bessan  La Valmale II - SARL BELECTIC PV5;NULL;SOLAR;1;NULL;25;NULL
POINT (3.37508831995227 43.3683881522928);27;Bessan La Valmale III - SARL BELECTIC PV10;NULL;SOLAR;1;NULL;25;NULL
POINT (1.57267146454365 43.8034415285014);28;Bessieres_01;NULL;SOLAR;1;NULL;25;NULL
POINT (1.62269552572714 44.2208835091956);29;Cayriech_Fustie_les_Perrieres_01;NULL;SOLAR;1;NULL;25;NULL
POINT (1.61991819299481 44.223077522077);30;Cayriech_01;NULL;SOLAR;1;NULL;25;NULL
POINT (3.37698301802849 43.3735049141587);31;Bessan  La Valmale II - SARL BELECTIC PV5;NULL;SOLAR;NULL;NULL;25;NULL
POINT (3.37508831978778 43.3683881519057);32;Bessan La Valmale III - SARL BELECTIC PV10;NULL;SOLAR;NULL;NULL;25;NULL
POINT (1.95481887851033 43.055117967843);33;Treziers-Village;NULL;SOLAR;1;NULL;26;NULL
POINT (2.94560921117147 42.7447242735954);34;construction de 2s agricoles photovoltaeques;NULL;SOLAR;2;NULL;NULL;NULL
